CODGEO;LIBGEO;AAV2020;LIBAAV2020;CATEAAV2020;DEP;REG
21001;Agencourt;028;Dijon;20;21;27
21002;Agey;028;Dijon;20;21;27
21003;Ahuy;028;Dijon;20;21;27
21004;Aignay-le-Duc;000;Commune hors attraction des villes;30;21;27
21005;Aiserey;028;Dijon;20;21;27
21006;Aisey-sur-Seine;365;Châtillon-sur-Seine;20;21;27
21007;Aisy-sous-Thil;392;Semur-en-Auxois;20;21;27
21008;Alise-Sainte-Reine;619;Venarey-les-Laumes;12;21;27
21009;Allerey;000;Commune hors attraction des villes;30;21;27
21010;Aloxe-Corton;174;Beaune;20;21;27
21011;Ampilly-les-Bordes;000;Commune hors attraction des villes;30;21;27
21012;Ampilly-le-Sec;365;Châtillon-sur-Seine;20;21;27
21013;Ancey;028;Dijon;20;21;27
21014;Antheuil;028;Dijon;20;21;27
21015;Antigny-la-Ville;000;Commune hors attraction des villes;30;21;27
21016;Arceau;028;Dijon;20;21;27
21017;Arcenant;028;Dijon;20;21;27
21018;Arcey;028;Dijon;20;21;27
21020;Arconcey;000;Commune hors attraction des villes;30;21;27
21021;Arc-sur-Tille;028;Dijon;20;21;27
21022;Argilly;028;Dijon;20;21;27
21023;Arnay-le-Duc;000;Commune hors attraction des villes;30;21;27
21024;Arnay-sous-Vitteaux;000;Commune hors attraction des villes;30;21;27
21025;Arrans;442;Montbard;20;21;27
21026;Asnières-en-Montagne;442;Montbard;20;21;27
21027;Asnières-lès-Dijon;028;Dijon;20;21;27
21028;Athée;028;Dijon;20;21;27
21029;Athie;392;Semur-en-Auxois;20;21;27
21030;Aubaine;028;Dijon;20;21;27
21031;Aubigny-en-Plaine;028;Dijon;20;21;27
21032;Aubigny-la-Ronce;000;Commune hors attraction des villes;30;21;27
21033;Aubigny-lès-Sombernon;028;Dijon;20;21;27
21034;Autricourt;365;Châtillon-sur-Seine;20;21;27
21035;Auvillars-sur-Saône;028;Dijon;20;21;27
21036;Auxant;000;Commune hors attraction des villes;30;21;27
